Year,Month,AHousehold,ATotal,Household,Total
2013,1,,,,760.44
2013,2,,,,780.79
2013,3,,,,759.41
2013,4,,421.08,0.61,781.12
2013,5,,395.58,0.58,736.92
2013,6,,405.33,0.64,844.65
2013,7,,,0.57,752.56
2013,8,9.99,,0.66,843.92
2013,9,9.99,,0.56,730.96
2013,10,9.99,,0.57,754.0
2013,11,,,0.62,812.57
2013,12,,,0.61,838.92
