Year,Month,AHousehold,ATotal,Household,Total
2016,1,0.42,536.49,,912.94
2016,2,0.47,591.68,,1004.64
2016,3,0.47,602.07,,1037.79
2016,4,0.44,553.37,,1127.8
2016,5,0.43,704.29,,940.0
2016,6,0.43,556.67,,889.36
2016,7,0.46,578.03,,952.6
2016,8,0.44,555.54,,878.5
2016,9,0.44,567.33,,931.61
2016,10,0.4,517.86,,860.14
2016,11,0.38,491.67,,822.14
2016,12,0.37,472.43,,779.23
