Year,Month,AHousehold,ATotal,Household,Total
2015,1,0.32,394.22,0.5,708.76
2015,2,0.43,547.52,0.69,965.2
2015,3,0.4,655.52,0.66,961.06
2015,4,0.44,565.38,0.71,983.59
2015,5,0.39,497.6,0.64,888.05
2015,6,0.42,528.19,0.63,931.06
2015,7,0.41,536.23,0.68,957.16
2015,8,0.5,646.13,0.77,1107.85
2015,9,0.4,513.62,0.58,898.91
2015,10,0.39,494.26,0.55,887.03
2015,11,0.51,647.11,,1117.86
2015,12,0.4,512.21,,901.32
