Year,Month,AHousehold,ATotal,Household,Total
2017,1,0.36,462.48,0.58,810.56
2017,2,0.37,480.71,,823.0
2017,3,0.41,524.14,,842.28
2017,4,0.37,479.83,,782.19
2017,5,0.36,468.71,,807.85
