Year,Month,AHousehold,ATotal,Household,Total
2014,1,,,0.57,775.25
2014,2,,,0.56,769.65
2014,3,,,0.6,833.46
2014,4,,,0.6,801.1
2014,5,,401.23,0.57,771.42
2014,6,,407.1,0.54,749.54
2014,7,,351.58,0.49,640.62
2014,8,0.33,432.37,0.54,766.0
2014,9,0.37,481.21,0.6,796.35
2014,10,0.29,365.75,0.49,669.67
2014,11,0.3,383.83,0.49,677.25
2014,12,0.28,441.85,0.46,695.4
